,country_long,name,capacity_mw,primary_fuel,commissioning_year,estimated_generation_gwh_2013,estimated_generation_gwh_2014,estimated_generation_gwh_2015,estimated_generation_gwh_2016,estimated_generation_gwh_2017
5074,China,APP Zhenjiang Jindong Mill power station,290,Coal,2000,,,,,1413.08
5083,China,Aksu Cogen power station,700,Coal,2016,,,,,3410.88
5088,China,Aksu Xuzhou power station,400,Coal,2011,,,,,1949.07
5095,China,Alashan Left Qi Wusitai power station,600,Coal,2009,,,,,2923.61
5101,China,Anda Cogen power station,100,Coal,2014,,,,,487.26
5104,China,Anhui Bengbu power station,2520,Coal,2013,,,,,12279.18
5106,China,Anhui Hwasu power station,600,Coal,2012,,,,,2923.61
5110,China,Anhui Xuancheng power station,1320,Coal,2012,,,,,6431.95
5113,China,Ankang,800,Hydro,1993,2492,2905.47,3015.5,3281.69,2929.86
5119,China,Ansha Dam,115,Hydro,1975,354.4,428.98,421.66,469.7,417.86
5120,China,Anshan Steel Company No 2 power station,345,Coal,1973,,,,,1681.07
5123,China,Anwen Songzao power station,1620,Coal,2015,,,,,7893.75
5127,China,Aral Xinhu Cogen power station,800,Coal,2013,,,,,3898.15
5131,China,Baguanhe Washery power station,270,Coal,2007,,,,,1315.62
5140,China,Bailianhe,300,Hydro,1960,557.2,842.82,811.97,1067.79,882.76
5143,China,Baise,540,Hydro,2006,1660.89,1720.87,1743.09,1892.46,1747.25
5144,China,Baise Coal,1320,Coal,2009,,,,,6431.95
5145,China,Baise Smelter power station,700,Coal,2016,,,,,3410.88
5146,China,Baise Tianyang power station,300,Coal,2007,,,,,1461.8
5148,China,Baishan - Hunjiang 2 Coal,600,Coal,2007,,,,,2923.61
5150,China,Baishi (Guizhou) Dam,420,Hydro,2011,1086.8,1358.38,1398.44,1581.96,1342.49
5151,China,Baishi (Liaoning) Dam,9.6,Hydro,2002,19.2,30.88,30.97,28.18,30.48
5154,China,Baitao cogen power station,100,Coal,2012,,,,,487.26
5159,China,Baiyanghe power station,890,Coal,2002,,,,,4336.69
5169,China,Banshan Gas,1170,Gas,2005,,,,,3545.81
5171,China,Baoding Northwest Suberb power station,350,Coal,2017,,,,,1705.44
5173,China,Baoquan,1200,Hydro,2011,1930.38,3101.5,3449.68,4174.37,3021.49
5176,China,Baoshan Works power station,1050,Coal,1986,,,,,5116.32
5177,China,Baosteel Zhanjiang power station,700,Coal,2014,,,,,3410.88
5178,China,Baotou Aluminum power station,1360,Coal,2016,,,,,6626.85
5179,China,Baotou Donghua power station,600,Coal,2005,,,,,2923.61
5180,China,Baotou East Hope power station,1320,Coal,2003,,,,,6431.95
5181,China,Baotou Hexi power station,1200,Coal,2006,,,,,5847.22
5182,China,Baotou Olefins power station,600,Coal,2009,,,,,2923.61
5183,China,Baotou Works power station,200,Coal,2001,,,,,974.53
5189,China,Baozhusi,700,Hydro,1996,2180.5,2633.13,2621.26,2849.38,2611.1
5191,China,Baqiao power station,850,Coal,2007,,,,,4141.78
5192,China,Bashan Dam,140,Hydro,2009,345.47,441.57,460.84,528.11,463.13
5204,China,Bayanhua Jinshan power station,1200,Coal,2010,,,,,5847.22
5215,China,Beian power station,100,Coal,1997,,,,,487.26
5218,China,Beihai Bebuwan power station,640,Coal,2004,,,,,3118.52
5219,China,Beihai New Area Heating power station,900,Coal,2014,,,,,4385.42
5221,China,Beijing - Northwest,2100,Gas,2013,,,,,6364.27
5222,China,Beijing - Shijingshan Coal,880,Coal,1988,,,,,4287.96
5232,China,Beitun Cogen power station,270,Coal,2016,,,,,1315.62
5236,China,Bijie power station,300,Coal,2009,,,,,1461.8
5237,China,Bikou,300,Hydro,1977,936.56,1125.46,1121.1,1223.23,1211.3
5242,China,Binzhou - Huji 1-4 Coal,1320,Coal,2014,,,,,6431.95
5243,China,Binzhou Heating Supply Center power station,780,Coal,2012,,,,,3800.69
5245,China,Bohe Coal,2000,Coal,2015,,,,,9745.38
5249,China,Bole Cogen power station,300,Coal,2016,,,,,1461.8
5250,China,Bulian power station,1320,Coal,2013,,,,,6431.95
5265,China,CHALCO Shandong Branch Power Station,138,Coal,2012,,,,,672.43
5266,China,CKI Lamma power station,2500,Coal,1989,,,,,12181.72
5267,China,CNPC Fushun Petrochemical power station,280,Coal,2009,,,,,1364.35
5268,China,CPI Baicheng power station,1320,Coal,2010,,,,,6431.95
5269,China,CPI Changshu-1 power station,3320,Coal,2005,,,,,16177.33
5270,China,CPI Chifeng Daban power station,1200,Coal,2013,,,,,5847.22
5271,China,CPI Chifeng New City Region power station,600,Coal,2017,,,,,2923.61
5272,China,CPI Dabieshan power station,1200,Coal,2008,,,,,5847.22
5273,China,CPI Fenyi power station,540,Coal,2006,,,,,2631.25
5274,China,CPI Huolinhe power station,1200,Coal,2008,,,,,5847.22
5275,China,CPI Nanyang power station,420,Coal,2008,,,,,2046.53
